topic,rank,term,prob
0,1,reptile,0.016909078369320183
0,2,mammal,0.009429190311407518
0,3,amphibian,0.008597191557321512
0,4,group,0.007761527031493009
0,5,system,0.007758808550515876
0,6,modern,0.0069319940567074195
0,7,including,0.006928810852367309
0,8,living,0.006928193325057386
0,9,bird,0.006923273352231119
0,10,internet,0.0060967224651980656
0,11,period,0.006095926843326313
0,12,specie,0.00609491423428744
0,13,evolved,0.004433316334574373
0,14,order,0.0044331631158453025
0,15,technology,0.004432111674531765
1,1,music,0.021153450757028833
1,2,rock,0.015757182885855658
1,3,bird,0.013053088198999597
1,4,electronic,0.011706745882991205
1,5,genre,0.010352574437069375
1,6,fish,0.009002716384322809
1,7,hop,0.007651190812711851
1,8,hip,0.007651190812711851
1,9,popular,0.006978677344139462
1,10,specie,0.006299919416273703
1,11,style,0.0056261535732600116
1,12,known,0.0049528231383521495
1,13,also,0.004278139846501413
1,14,new,0.004277761054340403
1,15,late,0.004277052861306729
2,1,music,0.017266050970934844
2,2,jazz,0.012302152959281255
2,3,network,0.009463284320766907
2,4,ai,0.009460905063712784
2,5,musical,0.007332919508304248
2,6,learning,0.0066250598419215255
2,7,computer,0.0066246186439085685
2,8,application,0.006624188366110855
2,9,host,0.005913047597630719
2,10,century,0.004494753198435229
2,11,field,0.0044946794907985525
2,12,early,0.0044945337565754796
2,13,style,0.004493642174223508
2,14,genre,0.004492933967902895
2,15,new,0.0037860387127525343
