component,rank,term,weight
0,1,music,0.636114824906906
0,2,electronic,0.2530438131755046
0,3,rock,0.2515334892238716
0,4,genre,0.1962115060218852
0,5,musical,0.1710417423131464
0,6,jazz,0.15712668196073193
0,7,popular,0.13910622410474469
0,8,style,0.11300347973637923
0,9,instrument,0.10812834504878725
0,10,early,0.10546860580306223
0,11,sound,0.10009351049978184
0,12,new,0.08785007670297906
0,13,wave,0.0847092785578414
0,14,electric,0.08396200031467345
0,15,blue,0.08086777520318178
1,1,bird,0.5261261777601699
1,2,reptile,0.3279590725073058
1,3,specie,0.25440064381021676
1,4,living,0.1901461478322263
1,5,group,0.17211787827361252
1,6,modern,0.15285604346420736
1,7,many,0.14671329942780945
1,8,amphibian,0.1269003828872582
1,9,evolved,0.11944749462780563
1,10,mammal,0.10582369879499001
1,11,period,0.1028035946508766
1,12,class,0.09508989977615441
1,13,late,0.09465973882088381
1,14,dinosaur,0.09259066370075604
1,15,fish,0.08867807700341178
2,1,rock,0.597593629384426
2,2,jazz,0.22743901585458806
2,3,genre,0.17153213370624112
2,4,style,0.16825886643036986
2,5,blue,0.15266656950627042
2,6,late,0.07706694453102164
2,7,punk,0.07662977236259082
2,8,emerged,0.06915047670279202
2,9,new,0.06514751885646931
2,10,mid,0.06275412176453077
2,11,form,0.06263543085711384
2,12,drew,0.06118522284629041
2,13,united,0.05975793235164483
2,14,social,0.051946771736656204
2,15,album,0.051086514908393874
