topic,rank,term,weight
0,1,music,1.4833333805383642
0,2,genre,0.9627708222388698
0,3,popular,0.9119674038812727
0,4,musical,0.8079481914886538
0,5,new,0.7462880363179868
0,6,style,0.7213545160372471
0,7,jazz,0.710770836006447
0,8,sound,0.6901890294858862
0,9,electronic,0.6823402274342677
0,10,early,0.663986199613134
0,11,electric,0.6435636608159846
0,12,rock,0.6093849017780922
0,13,based,0.5428989378592741
0,14,also,0.5396978745368957
0,15,instrument,0.5393906524144074
1,1,bird,1.0733025292488774
1,2,reptile,0.971638649139686
1,3,specie,0.9560459020037814
1,4,living,0.8737738140687416
1,5,group,0.8724142044530072
1,6,modern,0.7715253995804939
1,7,many,0.7049871383285112
1,8,period,0.6278446991842096
1,9,class,0.5967303673228058
1,10,evolved,0.5932306691568426
1,11,mammal,0.5596969064934075
1,12,amphibian,0.5375981958423834
1,13,order,0.5178366459005462
1,14,including,0.5123931667315355
1,15,known,0.5079658564633823
2,1,music,1.091730331138465
2,2,musical,0.6758052550806796
2,3,western,0.6681152636789721
2,4,classical,0.6652118382113573
2,5,century,0.6077227957675421
2,6,genre,0.6072874391339145
2,7,school,0.6014794667765482
2,8,well,0.5364374142060904
2,9,art,0.5281424338456668
2,10,tradition,0.5272972550156414
2,11,th,0.5245975671721584
2,12,saint,0.5146781340354265
2,13,abbey,0.5146781340354265
2,14,polyphony,0.5146781340354265
2,15,form,0.4284110700023642
