topic,rank,term,weight
0,1,reptile,0.485317223582395
0,2,bird,0.48414173170452546
0,3,mammal,0.31828027935269787
0,4,specie,0.29870988691303896
0,5,fish,0.28555546645059254
0,6,amphibian,0.2647716250612796
0,7,living,0.2553328780814298
0,8,group,0.19709579784540057
0,9,modern,0.17428563003641373
0,10,clade,0.16476044901421683
0,11,period,0.1615033671218917
0,12,year,0.1506844467887214
0,13,order,0.1474462324134192
0,14,class,0.1415535235248268
0,15,ago,0.13185626087623725
1,1,music,0.5487574567740539
1,2,rock,0.302572854509655
1,3,jazz,0.263251451434782
1,4,genre,0.20698946891007539
1,5,electronic,0.20253906356788345
1,6,musical,0.1659820405353999
1,7,style,0.15563137277928574
1,8,hip,0.14143844826172167
1,9,hop,0.14143844826172167
1,10,blue,0.12559390939143433
1,11,popular,0.11558147210843744
1,12,sound,0.09150624826657353
1,13,century,0.09127225110684381
1,14,instrument,0.09091151900402725
1,15,rap,0.08944532160933791
2,1,network,0.3527984441297492
2,2,computer,0.2527691972391718
2,3,internet,0.23902816266628696
2,4,application,0.21705643147223358
2,5,host,0.21540379872277257
2,6,security,0.19440905818678156
2,7,learning,0.19184398271777933
2,8,system,0.19025585695744962
2,9,field,0.17639173832544072
2,10,connected,0.1622763296060516
2,11,ai,0.1586176660194453
2,12,information,0.1584294654189579
2,13,iot,0.15660978186111943
2,14,technology,0.14240726039820345
2,15,data,0.1403041341777306
